avg color red,avg color green,avg color blue,entropy of red,entropy of green,entropy of blue,avg entropy,width,height,aspect ratio,area,size,compression ratio,bit depth,total pixels,hue,saturation,value,hue median,saturation median,value median,output
172.15927,177.2844418,190.5837343,5.057986798,5.343073329,5.304816911,5.235292346,906,673,1.346210996,609738,113071,0.185441944,24,609738,0.106722696,0.126255603,0.748714096,0,0,0.980392157,1
108.2502618,104.092861,115.5939487,5.605705372,5.799719592,5.735397432,5.713607466,856,638,1.34169279,546128,101751,0.186313465,24,546128,0.326046968,0.100383278,0.454436603,0,0,0.341176471,1
184.422155,187.7522395,199.0942195,5.47700987,5.640361324,5.664410788,5.593927327,857,638,1.343260188,546766,131943,0.241315298,24,546766,0.170423139,0.140482992,0.784193912,0.014705882,0.007936508,0.964705882,1
226.9667897,234.0687768,233.4356947,2.031448292,2.109246314,2.275679128,2.138791245,935,542,1.725092251,506770,30509,0.060202853,24,506770,0.074871272,0.141212582,0.964384856,0,0,1,1
150.0602533,152.0508196,164.767115,5.232039939,5.217173353,5.191214939,5.213476077,856,638,1.34169279,546128,90157,0.16508401,24,546128,0.121335328,0.139768009,0.648345859,0,0,0.894117647,1
189.0133357,190.4497645,197.616643,5.919336546,6.11551586,6.033880457,6.022910954,856,638,1.34169279,546128,108878,0.199363519,24,546128,0.250715802,0.111092707,0.782875752,0.07010582,0.008403361,0.933333333,1
180.8135958,197.5803018,212.1737336,4.660497153,4.809660889,4.900670437,4.79027616,635,480,1.322916667,304800,62004,0.203425197,24,304800,0.108052997,0.193350355,0.853441009,0,0,1,1
193.5266667,199.1699442,208.8839665,4.419350407,4.819197924,4.859280639,4.699276323,635,480,1.322916667,304800,56935,0.186794619,24,304800,0.134172813,0.163719091,0.849966844,0,0,1,1
184.2666995,188.2208465,184.8485138,5.411082337,5.517655483,5.14374336,5.357493727,635,480,1.322916667,304800,48931,0.160534777,24,304800,0.370282007,0.268553959,0.82237803,0.548245614,0.176470588,0.984313725,1
199.2782054,205.1998261,215.2198392,4.968071469,5.101888297,5.425125808,5.165028524,635,480,1.322916667,304800,57846,0.189783465,24,304800,0.172617811,0.133887032,0.866874904,0.031481481,0.014705882,0.996078431,1
195.3458268,206.1304856,222.6071194,3.447513985,3.859058372,3.8724011,3.726324486,635,480,1.322916667,304800,43394,0.142368766,24,304800,0.102330324,0.16201757,0.885593588,0,0,1,1
